epoch,train_loss,train_acc,valid_loss,valid_acc
0,8.98210722732544,0.00028125,8.806941761420322,0.0005258413461538461
1,8.421354559580484,0.0016458333333333333,8.019911603285717,0.003192608173076923
2,7.334709106763204,0.01184375,6.754008442163467,0.02137169471153846
3,6.115930728594462,0.050020833333333334,5.742303515856083,0.07001201923076923
4,5.105298132737477,0.12007291666666667,4.723501567657177,0.15771484375
5,4.259261749903361,0.2145,3.9909214812975664,0.2530048076923077
6,3.5628327611287434,0.31328125,3.431692122266843,0.33837890625
7,2.9694130132993064,0.40903125,2.7909705444024158,0.4409930889423077
8,2.477307324965795,0.49957291666666664,2.42204863176896,0.5072490985576923
9,2.129419096469879,0.5621979166666666,2.2162966069120626,0.5466871995192307
10,1.841257682800293,0.61478125,2.007065734611108,0.5897686298076923
11,1.6549964051644008,0.65440625,1.751855697769385,0.63427734375
12,1.470946902235349,0.6889375,1.5018702607888441,0.6875
13,1.3400261783997218,0.7188333333333333,1.3835424075906093,0.7090219350961539
14,1.2321009383598964,0.7390208333333333,1.333101869489138,0.7199894831730769
15,1.1376392505168915,0.7576458333333334,1.3420473044881454,0.7119891826923077
16,1.0490290973583858,0.777125,1.1626920728729322,0.7528545673076923
17,0.9870150465766588,0.7906979166666667,1.0760974012888396,0.77294921875
18,0.9284683025479317,0.8015104166666667,1.026988465912067,0.78515625
19,0.8772722581426302,0.8110520833333333,1.0042180152466664,0.7890625
20,0.8331836539705595,0.8229791666666667,0.9476340861561207,0.8000300480769231
21,0.7898085844715437,0.83175,0.9198084293076625,0.80859375
22,0.7437786848644415,0.8406875,0.8415075715344685,0.8239558293269231
23,0.7114322593112786,0.8485833333333334,0.8356424805063468,0.8242563100961539
24,0.6854241672456265,0.8517708333333334,0.8072698910075885,0.8314678485576923
25,0.6610722054143746,0.8585833333333334,0.765250504303437,0.8375150240384616
26,0.616881827344497,0.8679375,0.7386257295998243,0.8445012019230769
27,0.6090844984700282,0.8688020833333333,0.7412772741741859,0.8463792067307693
28,0.5842171267767747,0.8767083333333333,0.7349580390235553,0.8468674879807693
29,0.5582204186667998,0.8788125,0.6801437681111006,0.8581730769230769
30,0.5465349825173617,0.8839791666666666,0.7100234558949103,0.8512620192307693
31,0.5333728392819563,0.8868645833333333,0.6609352824206536,0.8630558894230769
32,0.5152647561232249,0.8904166666666666,0.6629543484976659,0.8596379206730769
33,0.4973882449890176,0.8943020833333334,0.6546135393616098,0.8635066105769231
34,0.48364191139737767,0.8970833333333333,0.6187806693980327,0.8685396634615384
35,0.46243083679924407,0.90065625,0.6032392969354987,0.8750751201923077
36,0.45101094103604555,0.901875,0.621425662906124,0.8680889423076923
37,0.4440767172574997,0.9036145833333333,0.6051338008390024,0.8728966346153846
38,0.433476491043965,0.9072708333333334,0.6146176116397748,0.8704552283653846
39,0.42476436555882296,0.9078541666666666,0.561700147146789,0.8827373798076923
40,0.3361826757242282,0.9290104166666666,0.46940133118858707,0.9032827524038461
41,0.31111868704482915,0.9362604166666667,0.4524886616362402,0.9083533653846154
42,0.2920767579972744,0.9397708333333333,0.4385402830890738,0.9117337740384616
43,0.28960928596990804,0.9416458333333333,0.4275883881805035,0.9147761418269231
44,0.27910994182154536,0.94415625,0.4245382003271236,0.9134615384615384
45,0.26853305258757126,0.9462604166666667,0.420274245695999,0.9153395432692307
46,0.26773398062586784,0.9464479166666667,0.4111994029237674,0.9168043870192307
47,0.2620147896595299,0.9466770833333333,0.40740000170010787,0.9180814302884616
48,0.26089819738268855,0.9472083333333333,0.4055378737931068,0.9178185096153846
49,0.26510430647060274,0.94671875,0.40369131428619415,0.9180063100961539
50,0.24964526282499233,0.94990625,0.4032425622527416,0.9195462740384616
51,0.24486578611843288,0.9512604166666667,0.40043431481059927,0.9200721153846154
52,0.24745007196068763,0.9506041666666667,0.3913063444197178,0.9208608774038461
53,0.24480905819187562,0.950625,0.39559919043229175,0.919921875
54,0.23422090021086236,0.95284375,0.3898149076491021,0.9215369591346154
55,0.23801961612701417,0.9525520833333333,0.38724676308293754,0.9228515625
56,0.22710504643308618,0.9534375,0.3891071558643419,0.9223257211538461
57,0.23205002204732347,0.9535416666666666,0.3865330656990409,0.9225510817307693
58,0.22343304856711377,0.9552291666666667,0.38456069212406874,0.9226637620192307
59,0.2244313911938419,0.9554583333333333,0.38363971973124605,0.9233022836538461
60,0.2245794629578789,0.9552395833333334,0.38582668424798894,0.9229642427884616
61,0.22854112630182255,0.9546979166666667,0.3808822728192004,0.9226262019230769
62,0.2197034935670284,0.9557395833333333,0.38020531793769735,0.9227013221153846
63,0.2197277779939274,0.9560729166666667,0.3775830463363001,0.9240534855769231
64,0.21960537549915413,0.95675,0.37859146841443503,0.9239032451923077
65,0.21356687282212078,0.9587708333333333,0.3754134316785404,0.9239783653846154
66,0.21368292150398097,0.9580625,0.3724782337219669,0.9246544471153846
67,0.20703737420402468,0.95909375,0.3699036097476402,0.92578125
68,0.20674101948489745,0.9579791666666667,0.3719365714619366,0.9237530048076923
69,0.2143039939228135,0.9573020833333333,0.36952851594497377,0.9249173677884616
70,0.20196345022227616,0.9604479166666666,0.36665143214094525,0.9254807692307693
71,0.20400660404593995,0.95921875,0.3646826384624896,0.9268704927884616
72,0.20648469801433383,0.95953125,0.3671878655620206,0.9254056490384616
73,0.20703965133304397,0.95978125,0.36289085320626885,0.9264948918269231
74,0.19997020327206702,0.9607604166666667,0.36650373933550257,0.9257436899038461
75,0.20267236991599202,0.960375,0.3616711853358608,0.9276592548076923
76,0.20332450701265287,0.9603333333333334,0.36410967163884866,0.9269456129807693
77,0.20039294519399603,0.9606458333333333,0.36467760783405256,0.9264573317307693
78,0.1965069346635913,0.9608958333333333,0.3640168306704324,0.9273212139423077
79,0.2034829810677717,0.9601145833333333,0.3611602638131724,0.9271334134615384
80,0.1952798575926572,0.9610625,0.36319727966418636,0.9270207331730769
81,0.19678918751080832,0.9618229166666666,0.3622462532769602,0.9266451322115384
82,0.20269374574969212,0.9599166666666666,0.36322326585650444,0.9270207331730769
83,0.19575840458429108,0.96134375,0.3621938233465279,0.9261192908653846
84,0.19886561677511783,0.96125,0.36320391565991134,0.9270958533653846
85,0.1996383595842247,0.96115625,0.35909915378747076,0.9275841346153846
86,0.2002418208802119,0.9606666666666667,0.36048633623151827,0.927734375
87,0.20050439062559355,0.96103125,0.36134522472723174,0.9275465745192307
88,0.19343122981923322,0.9617395833333333,0.3596534518739925,0.9286358173076923
89,0.19741559224575758,0.9611979166666667,0.3571230393315021,0.9281475360576923
90,0.1892448690730768,0.9623958333333333,0.3592947801360144,0.927734375
91,0.1925960022304207,0.9615104166666667,0.3597766089682969,0.9274714543269231
92,0.19487708457792177,0.9610208333333333,0.3598094475097381,0.9280348557692307
93,0.1993917396614949,0.9610625,0.35579107821775746,0.9290489783653846
94,0.18883501406013967,0.9621458333333334,0.36123357609344214,0.9273587740384616
95,0.19360692486446351,0.96215625,0.35701794700267225,0.9278094951923077
96,0.1953175652306527,0.9608020833333333,0.3566903047478543,0.9282602163461539
97,0.18965443413875377,0.9627708333333334,0.36003570803082907,0.9281475360576923
98,0.19262719829007982,0.9625520833333333,0.3582224097962563,0.9285982572115384
